idu,id_adr,type_lien,nb_adr,nb_parc
75109000AU0048,75109_9663_00034,GEO,25,1
75109000AF0125,75109_1602_00046,GEO,1,1
75109000AH0022,75109_8673_00052,GEO,4,1
75109000AH0045,75109_1602_00032,GEO,2,1
75109000AU0062,75109_3510_00011,GEO,1,1
75109000AU0042,75109_3510_00035,GEO,2,1
75109000AH0040,75109_0572_00029,GEO,2,1
75109000AU0048,75109_9663_00012,GEO,25,1
75109000AU0048,75109_9663_00020,GEO,25,1
75109000AI0052,75109_9369_00006,GEO,9,1
75109000AU0055,75109_4295_00001,GEO,2,1
75109000AU0042,75109_7866_00001,GEO,2,1
75109000AF0012,75109_1602_00056,GEO,1,1
75109000AU0048,75109_9663_00005,GEO,25,1
75109000AP0082,75109_1949_00048,GEO,1,1
75109000AH0040,75109_1602_00024,GEO,2,1
75109000AU0048,75109_9663_00029,GEO,25,1
75109000AP0010,75109_1949_00033,GEO,3,1
75109000AU0048,75109_9663_00018,GEO,25,1
75109000AU0048,75109_9663_00013_b,GEO,25,1
75109000AI0052,75109_9369_00002,GEO,9,1
75109000AF0006,75109_1602_00066,GEO,1,1
75109000AI0046,75109_1602_00031,GEO,2,1
75109000AB0032,75109_2116_00056_b,GEO,2,1
75109000AF0009,75109_1602_00060,GEO,2,1
75109000AH0008,75109_3374_00004,GEO,4,1
75109000AB0072,75109_1547_00012,GEO,1,1
75109000AP0011,75109_5026_00001,GEO,2,1
75109000AU0043,75109_3510_00033,GEO,1,1
75109000AH0022,75109_1602_00004,GEO,4,1
75109000AI0052,75109_1602_00019,GEO,9,1
75109000AH0008,75109_8673_00066,GEO,4,1
75109000AC0098,75109_5211_00026,GEO,2,1
75109000AU0055,75109_3510_00019,GEO,2,1
75109000AF0008,75109_1602_00062,GEO,1,1
75109000AU0038,75109_4295_00016,GEO,1,1
75109000AC0081,75109_1602_00053,GEO,3,1
75109000AF0130,75109_1602_00050,GEO,1,1
75109000AB0046,75109_1547_00007,GEO,1,1
75109000AU0048,75109_3510_00031_b,GEO,25,1
75109000AU0048,75109_9663_00017,GEO,25,1
75109000AF0009,75109_1602_00058,GEO,2,1
75109000AB0032,75109_1547_00001,GEO,2,1
75109000AB0075,75109_1547_00006,GEO,1,1
75109000AU0048,75109_9663_00011,GEO,25,1
75109000AU0044,75109_4295_00010,GEO,1,1
75109000AU0048,75109_9663_00027,GEO,25,1
75109000AC0084,75109_1602_00047,GEO,1,1
75109000AH0045,75109_5211_00023,GEO,2,1
75109000AU0048,75109_9663_00026,GEO,25,1
75109000AU0048,75109_9663_00019,GEO,25,1
75108000CG0048,75108_7855_00005,GEO,3,1
75109000AC0097,75109_1602_00035,GEO,1,1
75109000AH0008,75109_8673_00064,GEO,4,1
75109000AH0043,75109_1602_00028,GEO,1,1
75109000AF0005,75109_1602_00066_a,GEO,1,1
75109000AF0007,75109_1602_00064,GEO,1,1
75109000AU0048,75109_9663_00008,GEO,25,1
75109000AU0048,75109_9663_00014,GEO,25,1
75109000AU0048,75109_9663_00013,GEO,25,1
75109000AH0008,75109_3374_00002_b,GEO,4,1
75109000AU0048,75109_9663_00022,GEO,25,1
75109000AC0098,75109_1602_00033,GEO,2,1
75109000AU0048,75109_9663_00015,GEO,25,1
75109000AU0048,75109_9663_00016,GEO,25,1
75109000AP0010,75109_7866_00070,GEO,3,1
75109000AC0081,75109_7484_00050,GEO,3,1
75109000AU0048,75109_9663_00010,GEO,25,1
75109000AU0056,75109_4295_00003,GEO,1,1
75109000AC0081,75109_6832_00064,GEO,3,1
75109000AH0022,75109_1602_00002,GEO,4,1
75109000AU0045,75109_4295_00008,GEO,1,1
75109000AH0022,75109_8673_00050,GEO,4,1
75108000CG0048,75108_7855_00003,GEO,3,1
75109000AI0052,75109_1602_00015,GEO,9,1
75109000AP0010,75109_7866_00072,GEO,3,1
75109000AM0037,75109_1949_00068,GEO,1,1
75109000AP0038,75109_1949_00058,GEO,1,1
75109000AP0081,75109_1949_00050,GEO,1,1
75109000AI0052,75109_1602_00011,GEO,9,1
75109000AU0051,75109_3510_00027,GEO,1,1
75109000AU0039,75109_4295_00014,GEO,1,1
75109000AP0011,75109_1949_00035,GEO,2,1
75109000AI0052,75109_1602_00013,GEO,9,1
75109000AU0048,75109_9663_00028,GEO,25,1
75109000AU0065,75109_3510_00007,GEO,1,1
75109000AB0048,75109_1547_00011,GEO,1,1
75109000AY0013,75109_3510_00068,GEO,2,1
75109000AZ0034,75109_8299_00007,GEO,1,1
75109000AY0164,75109_3510_00057,GEO,1,1
75109000AZ0048,75109_8299_00011,GEO,1,1
75109000AW0006,75109_3510_00028,GEO,1,1
75109000AZ0066,75109_8299_00024_a,GEO,1,1
75109000AZ0067,75109_8299_00026,GEO,2,1
